문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
답답해	0	0	0	0	0	0	0	0	1	0
필요없어	0	0	0	0	0	0	0	0	1	0
언제까지 이래	0	0	0	0	0	0	0	0	1	0
아 답답해서 못하겠네	0	0	0	0	0	0	0	0	1	0
진짜 왜 이래 도대체	0	0	0	0	0	0	0	0	1	0
뭐지 이게 도대체	0	0	0	0	0	0	0	0	1	0
모르겠다 그냥 해	0	0	0	0	0	0	0	0	1	0
됐고 그냥 가자	0	0	0	0	0	0	0	0	1	0
필요없어 그거	0	0	0	0	0	0	0	0	1	0
또야 진짜 또	0	0	0	0	0	0	0	0	1	0
언제까지 이래야 하나	0	0	0	0	0	0	0	0	1	0
팀 밸런스 별로네	0	0	0	0	0	0	0	0	1	0
조합이 이상해	0	0	0	0	0	0	0	0	1	0
역전 불가능	0	0	0	0	0	0	0	0	1	0
말을 귓등으로도 안쳐듣는구나	0	0	0	0	0	0	0	0	1	0
타이밍 놓쳤어	0	0	0	0	0	0	0	0	1	0
합 안 맞아	0	0	0	0	0	0	0	0	1	0
호흡 안 맞아	0	0	0	0	0	0	0	0	1	0
협력 안 돼	0	0	0	0	0	0	0	0	1	0
소통 안 돼	0	0	0	0	0	0	0	0	1	0
각자 하네	0	0	0	0	0	0	0	0	1	0
따로 노네	0	0	0	0	0	0	0	0	1	0
혼자 하는 것 같아	0	0	0	0	0	0	0	0	1	0
멘탈 흔들려	0	0	0	0	0	0	0	0	1	0
집중 안 돼	0	0	0	0	0	0	0	0	1	0
컨디션 별로야	0	0	0	0	0	0	0	0	1	0
오늘 운 없어	0	0	0	0	0	0	0	0	1	0
계속 실수해	0	0	0	0	0	0	0	0	1	0
이번 판 망했다	0	0	0	0	0	0	0	0	1	0
완전 밀렸어	0	0	0	0	0	0	0	0	1	0
게임 끝났다	0	0	0	0	0	0	0	0	1	0
5분만에 끝났네	0	0	0	0	0	0	0	0	1	0
초반부터 졌어	0	0	0	0	0	0	0	0	1	0
존나 약하네	0	0	0	0	0	0	0	0	1	0
저주 걸어버릴까	0	0	0	0	0	0	0	0	1	0
왜 자꾸 죽어	0	0	0	0	0	0	0	0	1	0
이거 억까야	0	0	0	0	0	0	0	0	1	0
